Ads1,Site1,Ads2,Site2,Slab,eV,Gf
CH,top_metal,N,bridge,slab_vac,6.3929125243,6.9566625242999995
CH3,top_metal,N,bridge,slab_vac,1.9505538428,2.9328038428000003
N2,top_metal,N,bridge,slab_vac,0.219825767,0.486825767
NH,top_metal,N,bridge,slab_vac,3.0240273356,3.3512773356000003
NH2,top_metal,N,bridge,slab_vac,0.7561627631000001,1.1981627631
NH3,top_metal,N,bridge,slab_vac,-1.8648658665,-1.1231158665
N,bridge,H2,top_metal,slab_vac,1.825551749,2.042051749
N,bridge,O,top_metal,slab_vac,5.531365255599999,5.7478652556
N,bridge,OH,top_metal,slab_vac,3.712,3.9285
N,bridge,H2O,top_metal,slab_vac,1.5272793365,1.7437793364999998
N,bridge,CO,top_metal,slab_vac,1.6476598319,1.8641598319
N,bridge,CH,top_metal,slab_vac,2.9429424242,3.1594424242000003
N,bridge,CH3,top_metal,slab_vac,2.418054049,2.634554049
N,bridge,N2,top_metal,slab_vac,1.739,1.9555
N,bridge,NH,top_metal,slab_vac,3.8375172081,4.054017208099999
N,bridge,NH2,top_metal,slab_vac,3.04177,3.25827
N,bridge,NH3,top_metal,slab_vac,1.2039121664,1.4204121664000002
H,top_metal,NH2,bridge,slab_vac,0.9741942256,1.0229442256
H2,top_metal,NH2,bridge,slab_vac,-0.9164425719,-0.8749425719
O,top_metal,NH2,bridge,slab_vac,2.1546842275,2.4011842275000004
OH,top_metal,NH2,bridge,slab_vac,-0.8254199990000001,-0.430169999
C,top_metal,NH2,bridge,slab_vac,8.2696629382,8.7846629382
CO,top_metal,NH2,bridge,slab_vac,3.0179763058,3.7044763058
CH,top_metal,NH2,bridge,slab_vac,5.432455685,5.996205685
CH2,top_metal,NH2,bridge,slab_vac,3.4332777984,4.1517777983999995
CH3,top_metal,NH2,bridge,slab_vac,1.4819414919999998,2.4641914919999994
N2,top_metal,NH2,bridge,slab_vac,0.2821997292,0.5491997291999999
NO,top_metal,NH2,bridge,slab_vac,3.2361379002,3.6791379001999998
NH2,top_metal,NH2,bridge,slab_vac,-0.2792662345,0.16273376550000002
NH3,top_metal,NH2,bridge,slab_vac,-1.4167026076999998,-0.6749526076999998
NH2,bridge,H,top_metal,slab_vac,-1.0850106402,-0.5420106402
NH2,bridge,H2,top_metal,slab_vac,-1.9216558992,-1.3786558992
NH2,bridge,O,top_metal,slab_vac,0.271086021,0.8140860209999999
NH2,bridge,OH,top_metal,slab_vac,-1.8892072617,-1.3462072616999998
NH2,bridge,CO,top_metal,slab_vac,-1.2747268614,-0.7317268614000001
NH2,bridge,CH,top_metal,slab_vac,-1.028042494,-0.485042494
NH2,bridge,CH2,top_metal,slab_vac,-1.0685549566,-0.5255549566000002
NH2,bridge,CH3,top_metal,slab_vac,-1.0610863807,-0.5180863807
NH2,bridge,N2,top_metal,slab_vac,-1.2090869873999999,-0.6660869873999999
NH2,bridge,NO,top_metal,slab_vac,-1.1205309001000001,-0.5775309001000002
NH2,bridge,NH2,top_metal,slab_vac,-1.0041858548,-0.4611858548000001
NH2,bridge,NH3,top_metal,slab_vac,-1.3584526537,-0.8154526537000001
